prog0
#	real	user	sys
0	6.03	5.81	0.21
1	5.85	5.61	0.22
2	5.83	5.57	0.25
3	5.83	5.59	0.23
4	5.84	5.57	0.25
5	5.84	5.62	0.21


prog1
#	real	user	sys
0	5.53	5.35	0.16
1	5.53	5.31	0.21
2	5.52	5.35	0.17
3	5.52	5.26	0.25
4	5.53	5.32	0.19
5	5.52	5.33	0.18


prog2
#	real	user	sys
0	5.36	5.13	0.22
1	5.37	5.14	0.21
2	5.37	5.13	0.23
3	5.36	5.17	0.19
4	5.36	5.12	0.22
5	5.36	5.15	0.19


#	real	user	sys
0	5.37	5.14	0.22
1	5.37	5.09	0.26
2	5.36	5.12	0.23
3	5.37	5.11	0.25
4	5.37	5.11	0.25
5	5.38	5.11	0.25


prog4
#	real	user	sys
0	5.32	5.13	0.18
1	5.33	5.07	0.25
2	5.33	5.15	0.16
3	5.32	5.06	0.26
4	5.32	5.10	0.21
5	5.34	5.09	0.23
